"","zip","Entertainment ($000), 2017","% Black Population, 2017","% Asian Population, 2017","Social, recreation, health club membership ($000), 2017","Prescription drugs ($000), 2017","Healthcare ($000), 2017","suicides","city","state","latitude","longitude"
"101","91320",67513.7,1.2666,10.7408,5585.7,4613.6,85103,52,"Newbury Park","CA",34.175038,-118.93956
"102","95628",67479.5,2.368,4.8476,4916.9,5420.9,92808.3,61,"Fair Oaks","CA",38.654803,-121.26529
"103","92688",66882.6,2.099,12.1785,5205.3,4331,84254.9,43,"Rancho Santa Margarita","CA",33.639994,-117.60351
"104","93230",66825.2,4.1228,4.0261,4207.3,5600.8,97102.1,84,"Hanford","CA",36.327063,-119.6451
"105","93306",66779.6,3.9686,2.8316,4222.1,5721.5,97901.6,85,"Bakersfield","CA",35.396411,-118.92268
"106","92009",66703.7,1.2914,9.3687,5425,4579.8,84600.7,50,"Carlsbad","CA",33.097841,-117.26744
"107","90278",66623.6,3.0613,15.0539,5525.3,4295.5,82168.1,47,"Redondo Beach","CA",33.871214,-118.37177
"108","92880",66459.5,8.5118,22.3955,4928.5,4157.4,85534.1,43,"Corona","CA",33.903803,-117.60221
"109","92335",66144.7,5.3281,2.4592,3677.9,5834.6,101452.3,64,"Fontana","CA",34.088911,-117.45213
"110","92399",65972.2,1.7708,3.5291,4428.1,5647.9,95166,104,"Yucaipa","CA",34.033564,-117.03776
"111","92660",65829.1,0.9335,8.6821,5778.5,4480.1,80794,49,"Newport Beach","CA",33.634821,-117.87453
"112","90201",65720.9,1.0344,0.9715,3448.8,6019.8,103449.8,49,"Bell","CA",33.972814,-118.17385
"113","92626",65611,2.03,15.5002,4751.2,4662.5,87404.7,71,"Costa Mesa","CA",33.677224,-117.90863
"114","94509",65410.8,14.0684,7.6662,3991.5,5513.6,96005.5,90,"Antioch","CA",37.991571,-121.80207
"115","94521",65353,3.0386,15.7085,4925.2,4790.4,87140.5,48,"Concord","CA",37.957772,-121.97709
"116","94568",65250,8.914,29.9644,5286.4,3817,80295.8,26,"Dublin","CA",37.714179,-121.92567
"117","93720",65021.3,3.924,14.7208,4744.6,4780.1,87436.9,42,"Fresno","CA",36.865587,-119.75917
"118","90706",65002.6,13.7479,13.7314,3724.3,5423.8,97497.2,53,"Bellflower","CA",33.888165,-118.1276
"119","90803",64874.8,3.098,6.6847,4905.1,4817.5,85263.3,60,"Long Beach","CA",33.761117,-118.12986
"120","95020",64762.2,2.0172,8.3437,4780,4747.5,86715.9,54,"Gilroy","CA",37.016943,-121.56581
"121","90036",64564.4,6.5325,21.6723,4772.8,4249.6,82826,58,"Los Angeles","CA",34.07036,-118.34926
"122","92704",64499.6,1.7022,18.5473,3964.4,5105.9,95530.2,63,"Santa Ana","CA",33.724167,-117.90623
"123","90805",64190.5,20.2729,14.1934,3492.2,5291.5,96646,75,"Long Beach","CA",33.865916,-118.18362
"124","92780",64189.3,2.5658,15.8417,4387.9,4851.9,89553.5,45,"Tustin","CA",33.741651,-117.82127
"125","91344",64071.3,3.4342,19.1864,4626.3,4892.5,88343.2,47,"Granada Hills","CA",34.277648,-118.50047
"126","94403",64038.9,1.8493,26.9639,5092.5,4243.7,82341.6,38,"San Mateo","CA",37.539686,-122.30266
"127","92563",63722.4,7.2309,14.412,4376.7,4618.6,87254.2,47,"Murrieta","CA",33.571185,-117.15362
"128","94086",63681.7,2.537,45.6901,4933.9,3692,80851.2,48,"Sunnyvale","CA",37.378341,-122.02398
"129","94121",63547.8,1.5746,48.9783,4632.2,4375.9,87181.6,54,"San Francisco","CA",37.778729,-122.49265
"130","92057",63410.2,6.3655,11.6381,4321.1,4940.7,88638.8,70,"Oceanside","CA",33.240926,-117.29851
"131","94583",63393.4,2.489,25.4498,5442.5,3814.9,76652.5,40,"San Ramon","CA",37.75735,-121.95213
"132","95762",63371.8,1.7723,10.7475,5391.1,4192.4,78258.3,38,"El Dorado Hills","CA",38.684324,-121.06879
"133","92104",63337.4,9.7179,7.1448,3882.8,5073,90185.7,73,"San Diego","CA",32.742892,-117.12774
"134","94118",63246.5,1.7486,38.4958,4890.9,4121.1,82261,46,"San Francisco","CA",37.782029,-122.46158
