"","year","zipcode","causes_of_death","count"
"795",2015,92552,"SUI",0
"796",2015,92553,"SUI",4
"797",2015,92554,"SUI",0
"798",2015,92555,"SUI",4
"799",2015,92557,"SUI",6
"800",2015,92560,"SUI",0
"801",2015,92561,"SUI",0
"802",2015,92562,"SUI",8
"803",2015,92563,"SUI",5
"804",2015,92565,"SUI",0
"805",2015,92566,"SUI",0
"806",2015,92567,"SUI",3
"807",2015,92568,"SUI",0
"808",2015,92570,"SUI",6
"809",2015,92571,"SUI",1
"810",2015,92579,"SUI",0
"811",2015,92581,"SUI",0
"812",2015,92582,"SUI",0
"813",2015,92583,"SUI",5
"814",2015,92584,"SUI",5
"815",2015,92585,"SUI",2
"816",2015,92586,"SUI",5
"817",2015,92587,"SUI",4
"818",2015,92590,"SUI",1
"819",2015,92591,"SUI",2
"820",2015,92592,"SUI",11
"821",2015,92594,"SUI",0
"822",2015,92595,"SUI",0
"823",2015,92596,"SUI",1
"824",2015,92599,"SUI",0
"825",2015,92602,"SUI",1
"826",2015,92603,"SUI",0
"827",2015,92604,"SUI",6
"828",2015,92605,"SUI",0
"829",2015,92606,"SUI",1
"830",2015,92608,"SUI",0
"831",2015,92610,"SUI",0
"832",2015,92612,"SUI",4
"833",2015,92614,"SUI",1
"834",2015,92615,"SUI",1
"835",2015,92616,"SUI",0
"836",2015,92617,"SUI",0
"837",2015,92618,"SUI",1
"838",2015,92619,"SUI",0
"839",2015,92620,"SUI",5
"840",2015,92621,"SUI",0
"841",2015,92622,"SUI",0
"842",2015,92623,"SUI",0
"843",2015,92624,"SUI",0
"844",2015,92625,"SUI",4
"845",2015,92626,"SUI",6
"846",2015,92627,"SUI",5
"847",2015,92628,"SUI",0
"848",2015,92629,"SUI",4
"849",2015,92630,"SUI",7
"850",2015,92631,"SUI",0
"851",2015,92632,"SUI",0
"852",2015,92633,"SUI",0
"853",2015,92634,"SUI",0
"854",2015,92635,"SUI",0
"855",2015,92636,"SUI",0
"856",2015,92637,"SUI",1
"857",2015,92638,"SUI",0
"858",2015,92640,"SUI",0
"859",2015,92641,"SUI",0
"860",2015,92642,"SUI",0
"861",2015,92643,"SUI",0
"862",2015,92645,"SUI",0
"863",2015,92646,"SUI",11
"864",2015,92647,"SUI",13
"865",2015,92648,"SUI",6
"866",2015,92649,"SUI",2
"867",2015,92651,"SUI",3
"868",2015,92652,"SUI",0
"869",2015,92653,"SUI",3
"870",2015,92654,"SUI",0
